宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
广丰县五里村卫生所（谢桂英）,GFXWLCWSSXGY,DWI00001752
广丰县古城村卫生所（周金仙）,GFXGCCWSSZJX,DWI00001751
广丰县水北村卫生所（吴忠庆）,GFXSBCWSSWZQ,DWI00001844
广丰县洋江村卫生所（严忠斌）,GFXYJCWSSYZB,DWI00001924
广丰县紫坞村卫生所（谢金泉）,GFXZWCWSSXJQ,DWI00002222
彭泽县上十岭综合垦殖场卫生院,PZXSSLZHKZCWSY,DWI00021530
抚州市临川区医药公司青泥药店,FZSLCQYYGSQNYD,DWI00015434
居委会卫生所（邓汉群）,JWHWSSDHQ,DWI00006841
岚陵村卫生所（吴学农）,LCWSSWXN,DWI00007186
广丰县廿三都杨祥满诊所,GFXSDYXMZS,DWI00004969
张家山街道杨林村卫生所,ZJSJDYLCWSS,DWI00016235
彭汾村卫生所（胡会泳）,PFCWSSHHY,DWI00010192
德安县医药公司朝阳药店,DAXYYGSCYYD,DWI00009774
新兴村卫生所汪本新诊室,XXCWSSWBXZS,DWI00020537
新干县开心大药房国光店,XGXKXDYFGGD,DWI00008815
暖湖村卫生所操早凤诊室,NHCWSSCZFZS,DWI00020373
枫岭村卫生室（黄宣央）,FLCWSSHXY,DWI00004961
云楼卫生院,YLWSY,DWI00000197
八江卫生院,BJWSY,DWI00004061
刘敦吉诊所,LDJZS,DWI00003369
剑民卫生所,JMWSS,DWI00019279
彭盛捌诊所,PSBZS,DWI00006439
徐国权诊所,XGQZS,DWI00013954
戈立亮诊所,GLLZS,DWI00004291
朱根保诊所,ZGBZS,DWI00018825
洋地卫生院,YDWSY,DWI00021120
程青松诊所,CQSZS,DWI00005747
车步卫生院,CBWSY,DWI00002526
陈小林诊所,CXLZS,DWI00000777
饶思英诊所,RSYZS,DWI00006132
三江村卫生所,SJCWSS,DWI00001576
上升村卫生所,SSCWSS,DWI00006299
会昌县中医院,HCXZYY,DWI00006400
刘公庙卫生院,LGMWSY,DWI00001270
南坑村卫生所,NKCWSS,DWI00021475
坳上村卫生所,SCWSS,DWI00018067
宁化同济医院,NHTJYY,DWI00016463
宁都振兴药店,NDZXYD,DWI00017747
宋家村卫生所,SJCWSS,DWI00000453
寻乌县中医院,XWXZYY,DWI00014492
山下村卫生所,SXCWSS,DWI00015756
弋阳中和药店,YZHYD,DWI00020041
新庆云堂药店,XQYTYD,DWI00004164
桥南村卫生所,QNCWSS,DWI00001480
石塘村卫生所,STCWSS,DWI00010535
龙岗村卫生室,LGCWSS,DWI00014215
黄河清诊所(余),HHQZS(Y),DWI00014032
万安县前进药店,WAXQJYD,DWI00005549
万年县爱心药房,WNXAXYF,DWI00012982
上饶市弘历药店,SRSHLYD,DWI00021662
上高县大众药店,SGXDZYD,DWI00000202
上高县宏祥药店,SGXHXYD,DWI00017631
东乡糖厂医务所,DXTCYWS,DWI00002182
东山镇康宁诊所,DSZKNZS,DWI00005598
乐平市益民药店,LPSYMYD,DWI00018167
彭泽县和团村卫生所第一分所(何检牙),PZXHTCWSSDYFS(HJY),DWI00006785
东坑村卫生所邓贤佳医疗点（遂川县）,DKCWSSDXJYLDSCX,DWI00000140
后港后家卫生所岭上医疗点（彭清秀）,HGHJWSSLSYLDPQX,DWI00000069
宜黄县神冈乡党口村卫生所（洪金香）,YHXSGXDKCWSSHJX,DWI00019052
江西盛和医药连锁有限公司吉安亿通店,JXSHYYLSYXGSJAYTD,DWI00021738
湖口文桥乡江桥镇锋华诊所（王锋华）,HKWQXJQZFHZSWFH,DWI00009005
赣州市章贡区黄金时代社区综合门诊部,GZSZGQHJSDSQZHMZB,DWI00005949
高安市开心人大药房有限公司桥北分店,GASKXRDYFYXGSQBFD,DWI00019186
鹰潭市江边街道金谷园社区卫生服务站,YTSJBJDJGYSQWSFWZ,DWI00018429
芙蓉墩镇江河村卫生所第二分所(艾翠芳),RDZJHCWSSDEFS(ACF),DWI00007645
芦丰分场卫生所沙滩自然村分所(阮金华),LFFCWSSSTZRCFS(RJH),DWI00007062
宁海县桥头胡街道涨家溪村涨家溪卫生室,NHXQTHJDZJXCZJXWSS,DWI00013530
弋阳县南岩镇南岩镇旗山场童金旺卫生室,YXNYZNYZQSCTJWWSS,DWI00015577
彭泽县湖山村卫生所第一分所（何安平）,PZXHSCWSSDYFSHAP,DWI00006542
江西盛和医药连锁有限公司青原步行街店,JXSHYYLSYXGSQYBXJD,DWI00021733
婺源县鸳鸯湖商贸有限责任公司鸳鸯湖药店,YXYYHSMYXZRGSYYHYD,DWI00003788
江西开心人大药房连锁有限公司德兴连锁分店,JXKXRDYFLSYXGSDXLSFD,DWI00001029
江西黄庆仁栈华氏大药房公司修水县衙前药店,JXHQRZHSDYFGSXSXYQYD,DWI00001021
彭泽县黄花镇双峰大药房,PZXHHZSFDYF,DWI00021663
柘下村卫生所吴有亮诊室,XCWSSWYLZS,DWI00018137
泊湖村卫生所（吴新忠）,BHCWSSWXZ,DWI00007051
石人乡石人刘立忠卫生室,SRXSRLLZWSS,DWI00014285
青龙镇河南村刘万祥卫生所,QLZHNCLWXWSS,DWI00017490
威家镇琚余村卫生所(何琚宝),WJZYCWSS(HB),DWI00016396
招携镇茶园村卫生所(刘晋祥),ZXZCYCWSS(LJX),DWI00015255
湖口大塘村卫生所二点（高伟）,HKDTCWSSEDGW,DWI00008223
横江居委会卫生室,HJJWHWSS,DWI00015587
湖口县三里卫生院,HKXSLWSY,DWI00018820
鄱阳县张致和药店,YXZZHYD,DWI00013072
新干县百信大药房*,XGXBXDYF*,DWI00000348
万载县原种场医务室,WZXYZCYWS,DWI00018921
中源乡洞下村卫生所,ZYXDXCWSS,DWI00021657
前山村卫生所(陈雪旺),QSCWSS(CXW),DWI00007570
万安县罗塘乡利民药店,WAXLTXLMYD,DWI00000222
丰城市白土中心卫生院,FCSBTZXWSY,DWI00021790
兴国县兴莲乡益康药房,XGXXLXYKYF,DWI00013625
吉水县白沙镇言淦药店,JSXBSZYYD,DWI00001336
上饶县旭日镇民生平价药店,SRXXRZMSPJYD,DWI00000961
下村镇下村村委第二卫生所,XCZXCCWDEWSS,DWI00005720
乐安县万崇镇坪背村卫生所,LAXWCZPBCWSS,DWI00017983
乐安县万崇镇安里村卫生所,LAXWCZALCWSS,DWI00017984
乐安县代坊镇代坊村卫生所,LAXDFZDFCWSS,DWI00018006
乐安县牛田镇员陂村卫生所,LAXNTZYCWSS,DWI00017995
乐安县罗陂乡右源村卫生所,LAXLXYYCWSS,DWI00017977
九江开发区柴桑平价大药房,JJKFQCSPJDYF,DWI00021299
九龙乡黄田村委第二卫生所,JLXHTCWDEWSS,DWI00016836
修水县同仁大药房城南药店,XSXTRDYFCNYD,DWI00007435
抚州市临川区医药公司高坪药店,FZSLCQYYGSGPYD,DWI00003700
昌江街道桂花弄社区卫生服务站,CJJDGHNSQWSFWZ,DWI00008741
星子县益寿堂平价大药房横塘店,XZXYSTPJDYFHTD,DWI00021349
民和村卫生所诊疗点（赖家骥）,MHCWSSZLDLJ,DWI00007885
江洲镇前埂村卫生所（高千龙）,JZZQGCWSSGQL,DWI00018357
涂埠镇渔业队卫生所菜园子分所,TBZYYDWSSCYZFS,DWI00020946
衙前镇溪口村卫生所（何火明）,YQZXKCWSSHHM,DWI00012809
大余县百信药品超市,DYXBXYPCS,DWI00014160
大段镇鹤吼村卫生所,DDZHHCWSS,DWI00001380
大锻镇隘口村卫生所,DDZAKCWSS,DWI00005799
天九镇九曲村卫生所,TJZJQCWSS,DWI00021730
头陂镇头陂村卫生所,TZTCWSS,DWI00003692
婺源县清华顺水药店,YXQHSSYD,DWI00003142
宁都县爱卫办门诊部,NDXAWBMZB,DWI00019735
安福县金田义芳药店,AFXJTYFYD,DWI00015763
宋溪镇田段村卫生所,SXZTDCWSS,DWI00019704
宜丰县澄塘镇卫生院,YFXCTZWSY,DWI00015273
宜黄县济仁堂大药房,YHXJRTDYF,DWI00002491
崇义县惠康平价药房,CYXHKPJYF,DWI00021275
带溪乡新丰村卫生所,DXXXFCWSS,DWI00000750
广丰县黄明强卫生所,GFXHMQWSS,DWI00001948
建山镇排楼卫生二所,JSZPLWSES,DWI00018349
张村乡界田村卫生所,ZCXJTCWSS,DWI00008495
弹前乡旺坑村卫生所,DQXWKCWSS,DWI00019025
恒丰黄金山村卫生所,HFHJSCWSS,DWI00018929
恩江卫生院第三门诊,EJWSYDSMZ,DWI00021331
新余市老医生门诊部,XYSLYSMZB,DWI00001807
新干县新百信大药房,XGXXBXDYF,DWI00004441
梅水乡园村村卫生所,MSXYCCWSS,DWI00006372
棠阴镇大岚村卫生所,TYZDCWSS,DWI00008558
欧里镇洲上村卫生所,OLZZSCWSS,DWI00016240
永宁镇八亩村卫生所,YNZBMCWSS,DWI00000874
永新县墩上百姓药店,YXXDSBXYD,DWI00008304
永泰镇园艺村卫生所,YTZYYCWSS,DWI00019325
江北村陈小华卫生室,JBCCXHWSS,DWI00006235
江口镇优良村卫生所,JKZYLCWSS,DWI00019411
油石乡梅岭村卫生所,YSXMLCWSS,DWI00020172
泰和县石山乡卫生院,THXSSXWSY,DWI00021930
潭城乡龙洲村卫生室,TCXLZCWSS,DWI00021198
玉山县冰溪镇卫生院,YSXBXZWSY,DWI00018221
瑞金市武阳益民药店,RJSWYYMYD,DWI00008769
白土镇卦塘村卫生室,BTZTCWSS,DWI00017194
白搓镇塘上村卫生所,BCZTSCWSS,DWI00006228
码头镇码头村卫生所,MTZMTCWSS,DWI00016284
程俊峰诊所（鄱阳）,CJFZSY,DWI00007516
经楼镇神岭村卫生所,JLZSLCWSS,DWI00019445
罗坪镇洞坪村卫生所,LPZDPCWSS,DWI00014650
袁州区珠泉街卫生所,YZQZQJWSS,DWI00021598
贵溪市益生堂大药房,GXSYSTDYF,DWI00019577
赣县吉埠镇樟溪药房,GXJBZZXYF,DWI00017266
赣县白鹭乡为民药店,GXBXWMYD,DWI00010557
赤土村王举锋卫生所,CTCWJFWSS,DWI00020279
靖安县张毓西医诊所,JAXZXYZS,DWI00000020
黎川县开心人大药房,LCXKXRDYF,DWI00019886
龙南县本草堂大药房,LNXBCTDYF,DWI00008461
玉山县华村益民药店*,YSXHCYMYD*,DWI00003018
云岗村卫生所(刘满英),YGCWSS(LMY),DWI00013436
合东村卫生所(左剑英),HDCWSS(ZJY),DWI00017058
平丰村卫生所(刘圣萍),PFCWSS(LSP),DWI00017057
瑞坑村卫生所(邓小柳),RKCWSS(DXL),DWI00010916
谷塘村卫生所(刘伟龙),GTCWSS(LWL),DWI00006796
万安县窑头镇平民药店,WAXYTZPMYD,DWI00000223
上犹县南河电厂医务所,SYXNHDCYWS,DWI00010125
上犹县滤清器厂医务所,SYXLQQCYWS,DWI00004032
上饶市信州区康源药房,SRSXZQKYYF,DWI00021423
上饶市信州区温馨药房,SRSXZQWYF,DWI00005591
上饶市信州区萍萍药店,SRSXZQPPYD,DWI00009332
上高县徐家渡同仁药店,SGXXJDTRYD,DWI00000326
丽水市陈记延寿堂药店,LSSCJYSTYD,DWI00020689
九江市老百姓药品超市,JJSLBXYPCS,DWI00005508
九江成龙医药有限公司,JJCLYYYXGS,DWI00002939
人人乐大药房姚家洼店,RRLDYFYJWD,DWI00021424
余干县洪家嘴乡卫生院,YGXHJZXWSY,DWI00018782
凤口村卫生所（张玮）,FKCWSSZ,DWI00008960
南康市风岗云峰大药房,NKSFGYFDYF,DWI00009262
南康麻双玉花平价药房,NKMSYHPJYF,DWI00007700
吉安县天河镇郭记药店,JAXTHZGJYD,DWI00001516
吉安县横江镇和昌药店,JAXHJZHCYD,DWI00004375
夏埠乡姜家姜瑶样诊所,XBXJJJYYZS,DWI00020472
宁都县诚信平价大药房,NDXCXPJDYF,DWI00017411
宁都发联广场超市药房,NDFLGCCSYF,DWI00007825
株潭联合诊所第一医疗点易庆勇),ZTLHZSDYYLDYQY),DWI00004331
九江县血防站桥头门诊部(曹正林),JJXXFZQTMZB(CZL),DWI00009661
双钟镇胜利村卫生所二点(崔卫兵),SZZSLCWSSED(CWB),DWI00010539
古陂镇石背村第二卫生所(邱镜明),GZSBCDEWSS(QJM),DWI00013092
嘉定镇胜利村第一卫生所(戴日盛),JDZSLCDYWSS(DRS),DWI00021524
江西药都樟树药业有限公司(刘琦),JXYDZSYYYXGS(L),DWI00000269
湖口县马影镇门港卫生所(曹健田),HKXMYZMGWSS(CJT),DWI00010985
螺溪镇路边黄洲村卫生所(刘国庆),LXZLBHZCWSS(LGQ),DWI00004646
龙南县杨村镇蕉陂村卫生所(徐明),LNXYCZJCWSS(XM),DWI00018083
丰城市开心人大药房连锁有限公司,FCSKXRDYFLSYXGS,DWI00001491
乔亭村卫生所第四分所（曾云珍）,QTCWSSDSFSZYZ,DWI00007151
九江经济技术开发区贴心人大药房,JJJJJSKFQTXRDYF,DWI00019265
五联村卫生所第五分所（曾国平）,WLCWSSDWFSZGP,DWI00009461
升州村卫生所三组分所（殷永高）,SZCWSSSZFSYYG,DWI00007214
南康市龙岭镇邱边村张祥洪卫生所,NKSLLZQBCZXHWSS,DWI00009202
居委会卫生所第一分所（刘福庆）,JWHWSSDYFSLFQ,DWI00006842
广丰县付家棚村卫生所（周美桂）,GFXFJPCWSSZMG,DWI00001867
弋阳县南岩镇南岩村徐盛发卫生室,YXNYZNYCXSFWSS,DWI00021039
德兴市银城镇南门新区卫生服务站,DXSYCZNMXQWSFWZ,DWI00009972
新余市渝水区红十字会城北门诊部,XYSYSQHSZHCBMZB,DWI00014917
梅岭村卫生所第四分所（孙继斌）,MLCWSSDSFSSJB,DWI00007153
江西盛和医药连锁有限公司万安店,JXSHYYLSYXGSWAD,DWI00021936
江西省医药集团吉安公司吉昌药店,JXSYYJTJAGSJCYD,DWI00021417
江西省靖安县水口乡腾丰村卫生所,JXSJAXSKXTFCWSS,DWI00005231
江西省靖安县高湖镇永丰村卫生所,JXSJAXGHZYFCWSS,DWI00002977
后港徐家坂卫生所医疗点（洪国平),HGXJWSSYLDHGP),DWI00006722
临港百桥村卫生所,LGBQCWSS,DWI00019207
丽村镇尚山卫生室,LCZSSWSS,DWI00006599
乐安县民康大药房,LAXMKDYF,DWI00016839
乐平众埠民生药店,LPZBMSYD,DWI00001227
吉安县永阳镇海宝药店,JAXYYZHBYD,DWI00000727
艾城镇马湾村卫生所(刘英强),ACZMWCWSS(LYQ),DWI00018599
赤田镇罗塘村卫生所(奉新县),CTZLTCWSS(FXX),DWI00001057
江西康力药品物流有限公司(何欢婷),JXKLYPWLYXGS(HH),DWI00017910
万载县仙源乡双溪村卫生所(李玉石),WZXXYXSXCWSS(LYS),DWI00019544
后港江罗卫生所园桥医疗点(李茂和),HGJLWSSYQYLD(LMH),DWI00007934
江西康力药品物流有限公司(何惠桃),JXKLYPWLYXGS(HHT),DWI00002346
江西康力药品物流有限公司(徐新铭),JXKLYPWLYXGS(XXM),DWI00002699
江西康力药品物流有限公司(杜新根),JXKLYPWLYXGS(DXG),DWI00001272
江西康力药品物流有限公司(邹建军),JXKLYPWLYXGS(ZJJ),DWI00002611
兴国县放心大药房,XGXFXDYF,DWI00018472
台州市泰力堂药房,TZSTLTYF,DWI00018710
合兴村第一卫生所,HXCDYWSS,DWI00008472
吉安县固江卫生院,JAXGJWSY,DWI00017342
吉安县桐坪卫生院,JAXTPWSY,DWI00018211
吉安县济民堂药店,JAXJMTYD,DWI00004371
城南居委会卫生所,CNJWHWSS,DWI00002602
天河宏林村卫生所,THHLCWSS,DWI00003649
奉新县东风卫生院,FXXDFWSY,DWI00010878
宁海县香岩大药房,NHXXYDYF,DWI00009258
安福县章庄卫生院,AFXZZWSY,DWI00020636
安福县贴心人药店,AFXTXRYD,DWI00001353
宜丰县花桥卫生院,YFXHQWSY,DWI00000437
庐山区吴美军诊所,LSQWMJZS,DWI00008092
张家山中心卫生院,ZJSZXWSY,DWI00017122
彭泽县乐观卫生院,PZXLGWSY,DWI00008306
德兴市大嘉大药房,DXSDJDYF,DWI00021336
德安县汇龙大药房,DAXHLDYF,DWI00021654
德安县益寿堂药店,DAXYSTYD,DWI00009799
新余市万和大药房,XYSWHDYF,DWI00006756
新余市仁武大药房,XYSRWDYF,DWI00003027
新干县健康大药房,XGXJKDYF,DWI00020238
永丰县盛和大药房,YFXSHDYF,DWI00014180
江山市利众大药房,JSSLZDYF,DWI00014460
江山市瑞祥大药房,JSSRXDYF,DWI00021718
洲上镇区西卫生所,ZSZQXWSS,DWI00017569
浦城县登瀛大药房,PCXDDYF,DWI00010908
石城县同源堂药店,SCXTYTYD,DWI00013862
红星村何屋卫生所,HXCHWWSS,DWI00020450
象山鹤浦大众药房,XSHPDZYF,DWI00017800
赣县明冬壹药材栈,GXMDYYCZ,DWI00020313
赣州市刘志红诊所,GZSLZHZS,DWI00015851
鄱阳县饶州府药店,YXRZFYD,DWI00004248
铅山县大嘉大药房,QSXDJDYF,DWI00021609
青原区天玉卫生院,QYQTYWSY,DWI00001205
青原区富田卫生院,QYQFTWSY,DWI00000195
鹰潭市保康大药房,YTSBKDYF,DWI00017676
玉山县岩瑞镇药店*,YSXYRZYD*,DWI00002938
湛溪卫生院(配送站),ZXWSY(PSZ),DWI00001164
丁山村卫生所二分所,DSCWSSEFS,DWI00021562
万安县枧头顺康药店,WAXTSKYD,DWI00003711
万村乡瓦源村卫生所,WCXWYCWSS,DWI00015728
三都镇东浒村卫生所,SDZDCWSS,DWI00003718
上固乡章田村卫生室,SGXZTCWSS,DWI00020591
东乡县糖科所医务所,DXXTKSYWS,DWI00018876
东乡县胡智内科诊所,DXXHZNKZS,DWI00002183
东山大众平价大药房,DSDZPJDYF,DWI00016015
丰城市一品堂大药房,FCSYPTDYF,DWI00010768
先锋村卫生所（欧阳克胜）,XFCWSSOYKS,DWI00006697
兴国梁隆河中西医结合诊所,XGLLHZXYJHZS,DWI00017404
南城县沙洲镇临坊村卫生所,NCXSZZLFCWSS,DWI00020752
南康市横市村黄若建卫生所,NKSHSCHRJWSS,DWI00007721
吉安县敖城镇禾水村卫生所,JAXACZHSCWSS,DWI00001677
奉新县赤岸镇赤岸村卫生所,FXXCAZCACWSS,DWI00005244
宜黄县凤岗镇卫生院门诊部,YHXFGZWSYMZB,DWI00007803
广昌县盱江镇大塘村卫生所,GCXJZDTCWSS,DWI00002383
广昌县盱江镇清水村卫生所,GCXJZQSCWSS,DWI00004326
广昌县长桥乡上凡村卫生所,GCXCQXSFCWSS,DWI00004327
彭泽县建筑材料总厂卫生院,PZXJZCLZCWSY,DWI00003725
德兴市新岗山镇乐安堂药店,DXSXGSZLATYD,DWI00020140
德安县聂桥镇宝山村卫生所,DAXNQZBSCWSS,DWI00019132
德安县聂桥镇柳田村卫生所,DAXNQZLTCWSS,DWI00018442
德安县车桥镇昆山村卫生所,DAXCQZKSCWSS,DWI00014865
抚州市民康大药房大公路店,FZSMKDYFDGLD,DWI00010244
接渡潘村卫生所（汪发传）,JDPCWSSWFC,DWI00018955
新城镇新城村刘羽鸿卫生所,XCZXCCLYHWSS,DWI00018110
景德镇市昌江区张益明诊所,JDZSCJQZYMZS,DWI00008636
楠木村卫生所黄杰民医疗点,MCWSSHJMYLD,DWI00000164
永修县马口镇东坡村卫生所,YXXMKZDPCWSS,DWI00009864
江西国兴医药贸易有限公司,JXGXYYMYYXGS,DWI00019926
江西钟山同生医药有限公司,JXZSTSYYYXGS,DWI00002425
河下镇档头村委第二卫生所,HXZDTCWDEWSS,DWI00005186
河下镇河下村委第二卫生所,HXZHXCWDEWSS,DWI00005184
泰和县上模乡北汲村卫生所,THXSMXBJCWSS,DWI00021452
泰和县塘洲镇永昌村卫生所,THXTZZYCCWSS,DWI00021077
洛口镇洛口村卫生所（三）,LKZLKCWSSS,DWI00017749
浔阳区人人乐大药房量贩店,YQRRLDYFLFD,DWI00012874
浮江乡车里村西华山卫生所,FJXCLCXHSWSS,DWI00000976
潭头乡杨梅江村卫生室二所,TTXYMJCWSSES,DWI00019865
玉山县五洲大药房冰玉园店,YSXWZDYFBYYD,DWI00002344
玉山县冰溪镇康寿平价药房,YSXBXZKSPJYF,DWI00008705
石狮乡王家坝郑德军卫生室,SSXWJBZDJWSS,DWI00015504
石马镇中心卫生院北坑分院,SMZZXWSYBKFY,DWI00020335
蔡家湾村卫生所周文科诊室,CJWCWSSZWKZS,DWI00014105
贵溪吕建斌中西医结合诊所,GXLJBZXYJHZS,DWI00019405
赣州市章贡区东方红大药房,GZSZGQDFHDYF,DWI00003876
邵口大塘村卫生所（刘斌）,SKDTCWSSLB,DWI00018316
金溪县合市镇龚家村卫生所,JXXHSZGJCWSS,DWI00001813
金溪县左坊镇严家村卫生所,JXXZFZYJCWSS,DWI00002384
金溪县秀谷镇北门村卫生室,JXXXGZBMCWSS,DWI00001718
铅山县芝林大药房农贸分店,QSXZLDYFNMFD,DWI00009826
铜鼓县棋坪镇大梅村卫生所,TGXQPZDMCWSS,DWI00019054
银城镇全锋中西医口腔诊所,YCZQFZXYKQZS,DWI00009071
青龙镇九龙村黄军伟卫生所,QLZJLCHJWWSS,DWI00017090
靖安县仁首镇金田村卫生所,JAXRSZJTCWSS,DWI00009152
靖安县澡都镇黄浦村卫生所,JAXZDZHPCWSS,DWI00009154
鹰潭市月湖区宝芝林大药房,YTSYHQBZLDYF,DWI00018636
黄龙镇叶敦村刘燕萍卫生所,HLZYDCLYPWSS,DWI00016887
黄龙镇黄龙村刘登武卫生所,HLZHLCLDWWSS,DWI00008148
江西康力药品物流有限公司#,JXKLYPWLYXGS#,DWI00016322
玉山县百草堂药房黄家驷店*,YSXBCTYFHJD*,DWI00013730
三坊乡下坊村卫生室(李文彬),SFXXFCWSS(LWB),DWI00019422
凤山村卫生所黄海清诊室(余),FSCWSSHHQZS(Y),DWI00013948
暖水村卫生所陈和喜诊室(余),NSCWSSCHXZS(Y),DWI00013785
永修县涂埠村卫生所(雷瑞珍),YXXTBCWSS(LRZ),DWI00005544
江洲镇九号村卫生所(杨运锋),JZZJHCWSS(YYF),DWI00014000
广丰县吴村普塘纪辉洋卫生所,GFXWCPTJHYWSS,DWI00001837
广丰县新村卫生所（程祖华）,GFXXCWSSCZH,DWI00001833
广丰县黄家畈村叶修欣卫生所,GFXHJCYXXWSS,DWI00001951
德安县宝塔乡岳山垅村卫生所,DAXBTXYSCWSS,DWI00009819
抚州市临川区东馆镇阳光药店,FZSLCQDGZYGYD,DWI00003242
抚州市临川区心连心药品超市,FZSLCQXLXYPCS,DWI00017356
抚州市临川区恒康平价大药房,FZSLCQHKPJDYF,DWI00019592
抚州市临川区笑笑平价大药房,FZSLCQXXPJDYF,DWI00019338
新江乡新江村卫生所（康健）,XJXXJCWSSKJ,DWI00010195
星子县益寿堂平价药房横塘店,XZXYSTPJYFHTD,DWI00021206
棉船镇金洲村卫生所第七分所,MCZJZCWSSDQFS,DWI00016694
江西开心人大药房鄱阳连锁店,JXKXRDYFYLSD,DWI00002084
涌山杨潭村卫生所（叶长青）,YSYTCWSSYCQ,DWI00008144
湖口新桥村卫生所（饶海初）,HKXQCWSSRHC,DWI00008203
潞田关石村卫生所（郭惠民）,LTGSCWSSGHM,DWI00018166
瑞昌市武庙下社区卫生服务站,RCSWMXSQWSFWZ,DWI00009599
韶口南乾村卫生所（赖剑辉）,SKNQCWSSLJH,DWI00018181
高安市开心人大药房有限公司,GASKXRDYFYXGS,DWI00019185
高家仓田村卫生所（高长平）,GJCTCWSSGCP,DWI00008882
鹰潭市云天大药房胜利西路店,YTSYTDYFSLXLD,DWI00021080
黄龙镇大合社区卫生服务中心,HLZDHSQWSFWZX,DWI00018118
谷岗乡小金竹村卫生所(管玉文),GGXXJZCWSS(GYW),DWI00015236
上饶家家大药房有限公司胜利店,SRJJDYFYXGSSLD,DWI00013866
上饶家家大药房有限公司铁路店,SRJJDYFYXGSTLD,DWI00013867
兴国县中阳大药房有限责任公司,XGXZYDYFYXZRGS,DWI00020655
农工党鹰潭市农工中西结合诊所,NGDYTSNGZXJHZS,DWI00003545
冯川镇赤角村卫生所（熊光进）,FCZCJCWSSXGJ,DWI00003850
南村乡孝岗村卫生所（黄权明）,NCXXGCWSSHQM,DWI00015165
宁都县医药总公司同和丰大药房,NDXYYZGSTHFDYF,DWI00018396
九江县医药公司新合药店,JJXYYGSXHYD,DWI00013841
九江县医药公司港口药店,JJXYYGSGKYD,DWI00019324
乾湾村卫生所程裕红诊室,QWCWSSCYHZS,DWI00017135
信丰县铁石口镇新明药房,XFXTSKZXMYF,DWI00006700
华龙村卫生所何中华诊室,HLCWSSHZHZS,DWI00017386
南山村卫生所姚银枝诊室,NSCWSSYYZZS,DWI00005380
南康市潭口镇友邦大药房,NKSTKZYBDYF,DWI00018952
南康市潭口镇平价大药房,NKSTKZPJDYF,DWI00018716
南康市西华康俊兰卫生所,NKSXHKJLWSS,DWI00009119
城北办堆上村第二卫生所,CBBDSCDEWSS,DWI00019392
城北办富塘村第三卫生所,CBBFTCDSWSS,DWI00005629
城北办桥背村第八卫生所,CBBQBCDBWSS,DWI00020654
城北办郑家村第一卫生所,CBBZJCDYWSS,DWI00014880
大柏地乡大柏地村卫生所,DBDXDBDCWSS,DWI00010324
张村乡笪家庄村卫生所,ZCXJZCWSS,DWI00014355
大阿镇兴禾村第二卫生所,DAZXHCDEWSS,DWI00021314
青龙镇同盟村卫生所(李德权),QLZTMCWSS(LDQ),DWI00017361
丁江镇丁江社区居委会卫生所,DJZDJSQJWHWSS,DWI00001545
万载县康乐街道阳乐村卫生所,WZXKLJDYLCWSS,DWI00020190
上饶市信州区大嘉万福大药房,SRSXZQDJWFDYF,DWI00021342
上饶市信州区灵溪杨尚谦药店,SRSXZQLXYSQYD,DWI00008900
南康市横市何新明平价大药房,NKSHSHXMPJDYF,DWI00006398
四十里街镇暖水村占金星诊室,SSLJZNSCZJXZS,DWI00016654
大牛湖分场卫生所黄爱民诊室,DNHFCWSSHAMZS,DWI00020353
宜春市袁州区彭氏马家园药店,YCSYZQPSMJYYD,DWI00009841
寻乌县三标乡卫生院长安分院,XWXSBXWSYCAFY,DWI00006656
樟树市永泰益寿堂药店,ZSSYTYSTYD,DWI00016112
永丰县沙溪镇幸康药店,YFXSXZXKYD,DWI00001156
永丰县沿陂中心卫生院,YFXYZXWSY,DWI00006019
永新县高溪乡济生药店,YXXGXXJSYD,DWI00015864
永新县龙源口回春药店,YXXLYKHCYD,DWI00001788
江上乡江上村二卫生所,JSXJSCEWSS,DWI00008327
江山市花城宝芝堂药店,JSSHCBZTYD,DWI00021504
江西东荣医药有限公司,JXDRYYYXGS,DWI00010360
江西凯诚医药有限公司,JXKCYYYXGS,DWI00010926
江西南方电机厂医务室,JXNFDJCYWS,DWI00016326
江西福高医药有限公司,JXFGYYYXGS,DWI00001317
江西诚正医药有限公司,JXCZYYYXGS,DWI00020950
河东社区卫生服务中心,HDSQWSFWZX,DWI00004226
泰和县苏溪镇益民药店,THXSXZYMYD,DWI00019447
泰和县螺溪镇长寿药店,THXLXZCSYD,DWI00001980
泰和县马市镇富源药店,THXMSZFYYD,DWI00007655
流泗镇医疗所施建诊所,LZYLSSJZS,DWI00008485
湖口县文桥中心卫生院,HKXWQZXWSY,DWI00011108
王先福中西医内科诊所,WXFZXYNKZS,DWI00008319
石城县大由中心卫生院,SCXDYZXWSY,DWI00020732
谭塘管理处第一卫生所,TTGLCDYWSS,DWI00004143
赛湖农场苏家墩卫生所,SHNCSJDWSS,DWI00017666
赣县友邦大药房双龙店,GXYBDYFSLD,DWI00021429
进贤县池溪仁寿堂药店,JXXCXRSTYD,DWI00007965
鄱阳县响水滩民仁药店,YXXSTMRYD,DWI00021874
鄱阳湖城永福堂大药房,YHCYFTDYF,DWI00021873
铜鼓县济春和桥头药店,TGXJCHQTYD,DWI00001582
